STRUCTURE,STRUCTURE_ID,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2005,6.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2006,6.41,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2007,6.63,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2008,6.55,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2009,6.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2010,6.06,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2011,6.35,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2012,6.27,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2013,6.35,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2014,6.32,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2015,6.40,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2016,6.29,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2017,5.87,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2018,5.63,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2019,5.45,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2020,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EE,2021,4.10,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EL,1960,5.20,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EL,1961,5.28,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EL,1962,5.83,
dataflow,ESTAT:HLTH_HC_PHYS2(1.0),A,NR_HAB,EL,1963,5.86,
