STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,BE,2011,3.706,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,BE,2011,6.244,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,NL,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y35-44,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,BE,2011,7.549,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,IT,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,NL,2011,1.543,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,BE,2011,7.268,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,ES,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM090(1.0),A,THS,PB1040,NRP,Y45-54,M,FI,2011,,u
