STRUCTURE,STRUCTURE_ID,freq,icha_hc,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,DE,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,DK,2014,34.7,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,EE,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,EL,2014,12.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,ES,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,EU27_2020,2014,10.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,EU28,2014,11.1,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,FI,2014,18.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,FR,2014,16.8,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,HR,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,HU,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,IE,2014,20.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,IS,2014,14.5,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,IT,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,LT,2014,10.9,
dataflow,ESTAT:HLTH_EHIS_HO1U(1.0),A,DAY,DEG1,F,Y25-34,PC,LU,2014,21.9,
