STRUCTURE,STRUCTURE_ID,freq,unit,lev_perc,sex,age,lev_limit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IS,2019,42.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IT,2014,48.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,IT,2019,47.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LT,2014,48.9,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LT,2019,61.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LU,2014,42.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LU,2019,34.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LV,2014,47.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,LV,2019,52.1,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,MT,2014,54.3,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,MT,2019,53.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,NL,2014,40.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,NL,2019,44.5,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,NO,2014,45.6,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,NO,2019,41.7,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,PL,2014,54.2,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,PL,2019,54.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,PT,2014,51.8,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,PT,2019,54.0,
dataflow,ESTAT:HLTH_EHIS_SS1D(1.0),A,PC,INT,F,TOTAL,SEV,RO,2014,45.0,
