STRUCTURE,STRUCTURE_ID,freq,unit,resid,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE10,2017,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE10,2018,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE10,2019,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE10,2020,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE2,2013,0.1,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE2,2014,0.07,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE2,2018,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE2,2019,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE2,2020,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE21,2013,0.05,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE21,2014,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE21,2018,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE21,2019,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE21,2020,0.12,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE22,2020,0.09,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE23,2013,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE23,2018,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE23,2019,0.05,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE23,2020,0.05,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE24,2013,0.44,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE24,2014,0.26,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE24,2020,0.09,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE25,2020,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE3,2013,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE3,2014,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE3,2015,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE3,2016,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE3,2020,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE32,2013,0.04,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE32,2014,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE32,2015,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE32,2016,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE32,2020,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE33,2013,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE33,2014,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE35,2014,0.25,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE35,2015,0.25,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BE35,2016,0.06,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2013,0,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2014,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2015,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2016,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2017,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2018,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2019,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG,2020,0.01,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG3,2014,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG3,2015,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG3,2016,0.03,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG3,2017,0.02,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG33,2016,0.08,
dataflow,ESTAT:HLTH_CD_YPERRTO(1.0),A,RT,NRESID_IN,ENEOMORRT,BG33,2017,0.08,
