STRUCTURE,STRUCTURE_ID,freq,isced97,duration,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,SI,2008,13.0,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,SK,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_GT3,TR,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,AT,2008,56.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,BE,2008,44.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,BG,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,CY,2008,36.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,CZ,2008,47.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,DE,2008,58.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,EE,2008,19.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,EL,2008,49.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,ES,2008,40.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,FR,2008,49.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,HU,2008,36.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,LV,2008,41.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,MT,2008,38.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,PL,2008,34,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,RO,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,SI,2008,38.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,SK,2008,33.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED3_4,Y_LT1,TR,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,AT,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,BE,2008,13.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,BG,2008,31.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,CY,2008,18.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,CZ,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,EE,2008,52.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,EL,2008,14,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,ES,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,FR,2008,8.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,HU,2008,14.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,LV,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,MT,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,PL,2008,8.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,RO,2008,68.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,SI,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,SK,2008,30,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,NEV,TR,2008,73.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,AT,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,BE,2008,17.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,BG,2008,26.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,CY,2008,24,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,CZ,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,DE,2008,16,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,EE,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,EL,2008,19.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,ES,2008,21.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,FR,2008,22.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,HU,2008,20.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,LV,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,MT,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,PL,2008,30,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,RO,2008,12.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,SI,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,SK,2008,21.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y1-2,TR,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,BE,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,BG,2008,7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,CY,2008,6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,CZ,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,EE,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,EL,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,ES,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,FR,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,HU,2008,8.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,LV,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,MT,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,PL,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,RO,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,SI,2008,19.0,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,SK,2008,7.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y2-3,TR,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,AT,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,BE,2008,12.5,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,BG,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,CY,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,CZ,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,DE,2008,6.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,EE,2008,6.6,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,EL,2008,4.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,ES,2008,8.2,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,FR,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,HU,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,LV,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,MT,2008,12.9,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,PL,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,RO,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,SI,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,SK,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_GT3,TR,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_LT1,AT,2008,62.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_LT1,BE,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_LT1,BG,2008,26.4,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_LT1,CY,2008,45.1,
dataflow,ESTAT:HLTH_EHIS_HC3(1.0),A,ED5_6,Y_LT1,CZ,2008,58.2,
