STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,ED5_6,FR,2008,78.8,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,BG,2008,10.0,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,CY,2008,41.6,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,CZ,2008,17.5,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,EL,2008,42.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,FR,2008,72.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,HU,2008,28.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,PL,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,RO,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,SK,2008,34.7,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,F,Y_GE85,TOTAL,TR,2008,7.1,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,BG,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,CY,2008,28.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,CZ,2008,11.4,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,EE,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,EL,2008,42.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,FR,2008,70.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,HU,2008,26.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,LV,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,MT,2008,51.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,PL,2008,10.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,RO,2008,13.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,SI,2008,22.1,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,SK,2008,13.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED0-2,TR,2008,9.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,BG,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,CY,2008,31.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,CZ,2008,20.2,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,DE,2008,67.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,EE,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,EL,2008,42.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,FR,2008,68.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,HU,2008,31.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,LV,2008,4.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,MT,2008,55.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,PL,2008,15.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,RO,2008,20.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,SI,2008,26.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,SK,2008,23.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED3_4,TR,2008,10.1,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,BG,2008,11.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,CY,2008,17.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,CZ,2008,20.6,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,DE,2008,58.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,EE,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,EL,2008,43.3,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,FR,2008,65.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,HU,2008,48.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,LV,2008,9.1,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,MT,2008,50.0,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,PL,2008,31.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,RO,2008,37.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,SI,2008,50.8,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,SK,2008,36.4,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,ED5_6,TR,2008,44.0,u
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,BG,2008,5.0,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,CY,2008,27.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,CZ,2008,18.8,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,DE,2008,64.9,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,EE,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,EL,2008,42.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,FR,2008,69.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,HU,2008,32.6,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,LV,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,MT,2008,52.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,PL,2008,15.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,RO,2008,17.7,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,SI,2008,29.4,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,SK,2008,23.5,
dataflow,ESTAT:HLTH_EHIS_HC1(1.0),A,M,TOTAL,TOTAL,TR,2008,11.6,
