STRUCTURE,STRUCTURE_ID,freq,isced97,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,HU,2008,47.5,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,LV,2008,63.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,MT,2008,64.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,PL,2008,56.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,RO,2008,60.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,SI,2008,61.4,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,M,TR,2008,55,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,AT,2008,62.2,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,BE,2008,58.1,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,BG,2008,60.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,CY,2008,62.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,CZ,2008,51.2,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,EL,2008,68.3,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,ES,2008,66.6,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,HU,2008,48.1,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,LV,2008,61.9,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,MT,2008,61.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,PL,2008,55,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,RO,2008,57.7,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,SI,2008,56.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,SK,2008,54.2,u
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y45-54,T,TR,2008,51.8,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,AT,2008,61.4,
dataflow,ESTAT:HLTH_EHIS_ST8(1.0),A,ED0-2,Y55-64,F,BE,2008,62.1,u
