STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,PT,2011,13.056,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,RO,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,SE,2011,42.168,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,SI,2011,1.321,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,TR,2011,171.235,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y15-24,T,UK,2011,203.162,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,AT,2011,52.095,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,BE,2011,27.111,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,CH,2011,44.827,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,CY,2011,0.898,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,CZ,2011,7.273,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,DE,2011,205.838,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,DK,2011,16.096,
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,EE,2011,5.561,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,EL,2011,4.684,u
dataflow,ESTAT:HLTH_DLM040(1.0),A,THS,PB1040,EMP,Y25-34,F,ES,2011,85.424,
