STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2012,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2013,26.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2014,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2015,27.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2016,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2017,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2018,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2019,30.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2020,30.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EL,2021,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2004,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2005,24.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2006,25.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2007,25.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2008,28.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2009,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2010,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2011,29.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2012,29.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2013,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2014,29.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2015,30.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2016,30.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2017,31.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2018,30.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2019,31.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2020,30.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,ES,2021,30.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2005,25.2,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2006,25.7,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2007,25.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2008,26.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2009,26.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2007,2010,27.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2004,25.1,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2005,24.9,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2006,25.2,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2007,25.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2008,26.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2009,26.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2010,26.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2011,26.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2012,26.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2013,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2014,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2015,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2016,28.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2017,28.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2018,28.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2019,29.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2020,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU27_2020,2021,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2004,25.1,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2005,25.4,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2006,25.6,e
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2007,25.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2008,26.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2009,26.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2010,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2011,27.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2012,27.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2013,27.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2014,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2015,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2016,28.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2017,29.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,EU28,2018,29.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2004,27.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2005,27.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2006,27.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2007,28.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2008,29.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2009,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2010,29.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2011,29.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2012,30.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2013,30.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2014,30.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2015,31.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2016,31.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2017,32.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2018,32.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2019,32.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2020,32.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FI,2021,32.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2004,27.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2005,27.8,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2006,28.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2007,28.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2008,29.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2009,29.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2010,29.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2011,30.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2012,30.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2013,31.0,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2014,30.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2015,31.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2016,31.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2017,31.4,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2018,31.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2019,31.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2020,31.1,b
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,FR,2021,31.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2010,18.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2011,18.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2012,18.6,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2013,19.3,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2014,19.2,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2015,19.5,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2016,20.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2017,20.9,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2018,21.7,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2019,22.1,
dataflow,ESTAT:HLTH_SILC_17(1.0),A,YR,HE_50,F,HR,2020,23.0,
