STRUCTURE,STRUCTURE_ID,freq,age,isced97,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,M,PC,TR,2008,21.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,AT,2008,47.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,BE,2008,56.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,BG,2008,34.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,CY,2008,40.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,CZ,2008,52.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,EL,2008,48.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,ES,2008,53,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,HU,2008,52.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,LV,2008,40,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,MT,2008,43.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,PL,2008,47.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,RO,2008,30.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,SI,2008,45.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,SK,2008,47.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,TOTAL,TOTAL,T,PC,TR,2008,28.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,AT,2008,35.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,BE,2008,29.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,BG,2008,14.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,CY,2008,18.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,CZ,2008,50.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,EL,2008,25.2,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,ES,2008,34.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,HU,2008,31.4,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,LV,2008,15,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,PL,2008,22.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,RO,2008,7.3,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,SI,2008,26.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,SK,2008,26.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,F,PC,TR,2008,16.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,AT,2008,14.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,BE,2008,21.1,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,BG,2008,6.5,u
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,CY,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,CZ,2008,23,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,EL,2008,18,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,ES,2008,19.5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,HU,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,LV,2008,13.6,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,PL,2008,17.6,u
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,RO,2008,5,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,SI,2008,15.7,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,SK,2008,22.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,M,PC,TR,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,AT,2008,25,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,BE,2008,24.9,
dataflow,ESTAT:HLTH_EHIS_HC9(1.0),A,Y15-24,ED0-2,T,PC,BG,2008,10.5,
