STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,ES,2012,1359.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,EU27_2007,2012,16307.2,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,FI,2012,186.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,FR,2012,1591.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,HU,2012,355.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,IS,2012,15.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,IT,2012,1021.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,LT,2012,96.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,LU,2012,22.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,LV,2012,57.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,MT,2012,6.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,NL,2012,832.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,NO,2012,353.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,PL,2012,951.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,PT,2012,150.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,RO,2012,251.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,SE,2012,384.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,SI,2012,55.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,SK,2012,137.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-44,T,UK,2012,3514.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,AT,2012,323.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,BE,2012,693.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,BG,2012,360.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,CY,2012,29.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,CZ,2012,307.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,DE,2012,4702.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,DK,2012,359.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,EE,2012,72.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,EEA,2012,23567.0,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,EL,2012,379.1,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,ES,2012,2002.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,EU27_2007,2012,23138.8,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,FI,2012,258.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,FR,2012,2462.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,HU,2012,612.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,IS,2012,20.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,IT,2012,1357.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,LT,2012,169.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,LU,2012,25.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,LV,2012,115.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,MT,2012,12.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,NL,2012,1116.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,NO,2012,407.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,PL,2012,1723.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,PT,2012,330.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,RO,2012,795.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,SE,2012,486.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,SI,2012,84.0,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,SK,2012,307.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,F,UK,2012,4052.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,AT,2012,329.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,BE,2012,421.6,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,BG,2012,320.4,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,CY,2012,30.5,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,CZ,2012,242.3,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,DE,2012,4388.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,DK,2012,294.7,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,EE,2012,53.8,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,EEA,2012,19354.7,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,EL,2012,277.9,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,ES,2012,1527.2,
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,EU27_2007,2012,19089.6,e
dataflow,ESTAT:HLTH_DPEH005(1.0),A,THS,PB0000,Y15-64,M,FI,2012,252.9,
