STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2014,4298,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2015,4617,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2016,4276,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2017,4064,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2018,3801,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2019,3828,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SI,2020,3865,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2011,8197,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2012,7990,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2013,7553,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2014,7421,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2015,7565,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2016,7003,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2017,6970,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2018,7030,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2019,6784,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,SK,2020,6976,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2011,5192,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2012,5120,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2013,5580,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2014,5531,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2015,5283,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2016,5461,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2017,5284,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2018,5475,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,TR,2019,5265,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2011,4268,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2012,4161,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2013,4136,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2014,4036,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2015,4156,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2016,4190,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2017,4211,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,M,A-R_V-Y,UK,2018,4199,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2011,3487,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2012,3349,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2013,3254,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2014,3189,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2015,3121,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2016,2997,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2017,2909,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2018,2907,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2019,2854,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,AT,2020,2874,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2011,3789,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2012,3740,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2013,3626,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2014,3451,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2015,3425,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2016,3333,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2017,3273,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2018,3193,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2019,3077,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BE,2020,3165,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2011,6962,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2012,6767,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2013,6525,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2014,6762,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2015,6494,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2016,6460,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2017,6371,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2018,6315,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2019,6175,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,BG,2020,6911,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2011,2751,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2012,2679,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2013,2655,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2014,2532,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2015,2570,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2016,2405,
dataflow,ESTAT:HLTH_CD_APYLL(1.0),A,YR,T,A-R_V-Y,CH,2017,2390,
