STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,EEA,2012,9114.3,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,EL,2012,125.6,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,ES,2012,436.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,EU27_2007,2012,8956.8,e
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,FI,2012,111.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,FR,2012,1005.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,HU,2012,181.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,IS,2012,7.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,IT,2012,371.8,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,LT,2012,53.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,LU,2012,14.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,LV,2012,49.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,MT,2012,4.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,NL,2012,431.2,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,NO,2012,150.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,PL,2012,397.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,PT,2012,112.0,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,RO,2012,304.9,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,SE,2012,208.1,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,SI,2012,36.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,SK,2012,111.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y45-64,T,UK,2012,1290.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,AT,2012,172.7,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,BE,2012,279.3,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,BG,2012,108.4,
dataflow,ESTAT:HLTH_DPEH010(1.0),A,THS,EMP,PB0000,Y_GE15,F,CY,2012,6.1,
