STRUCTURE,STRUCTURE_ID,freq,sex,age,isced11,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SE,2007,53.3,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SE,2013,70.7,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SE,2020,83.8,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SI,2007,43.5,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SI,2013,54.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SI,2020,51.1,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SK,2007,15.2,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SK,2013,26.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,SK,2020,39.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,TR,2013,26.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,UK,2007,33.2,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED3_4,PC_EMP,UK,2013,,bu
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,AT,2007,24.5,d
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,AT,2013,65.9,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,AT,2020,72.2,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BE,2007,10.7,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BE,2013,41.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BE,2020,50.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BG,2007,15.3,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BG,2013,34.6,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,BG,2020,49.5,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CH,2013,51.3,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CH,2020,70.0,b
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CY,2007,23.8,
dataflow,ESTAT:HSW_EXP2(1.0),A,F,Y15-34,ED5-8,PC_EMP,CY,2013,37.3,b
