STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,worktime,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,TR,2011,140.363,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y15-24,T,UK,2011,113.574,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,AT,2011,35.861,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,BE,2011,16.873,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,BG,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,CH,2011,24.188,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,CY,2011,0.727,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,CZ,2011,4.466,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,DE,2011,114.42,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,DK,2011,7.533,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,EE,2011,4.805,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,EL,2011,4.388,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,ES,2011,60.304,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,EU28,2011,798.606,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,FI,2011,24.271,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,FR,2011,183.873,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,HU,2011,4.849,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,IE,2011,3.166,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,IT,2011,41.713,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,LU,2011,3.166,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,LV,2011,5.495,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,NL,2011,12.521,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,PL,2011,41.248,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,PT,2011,36.01,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,RO,2011,15.329,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,SE,2011,29.834,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,SI,2011,4.228,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,TR,2011,115.44,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,F,UK,2011,130.944,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,AT,2011,52.834,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,BE,2011,26.253,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,CH,2011,31.619,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,CY,2011,1.033,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,CZ,2011,10.596,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,DE,2011,217.498,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,DK,2011,19.479,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,EE,2011,4.62,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,EL,2011,6.607,u
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,ES,2011,49.117,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,EU28,2011,1126.974,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,FI,2011,28.094,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,FR,2011,285.06,
dataflow,ESTAT:HLTH_DLM080(1.0),A,THS,PB1040,FT,Y25-34,M,HR,2011,,u
