STRUCTURE,STRUCTURE_ID,freq,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FR,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FR,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,FR,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HR,2007,,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HR,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HR,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HU,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HU,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,HU,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IE,2007,0.6,du
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IE,2013,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IE,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IS,2007,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IS,2020,,u
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IT,2007,1.2,d
dataflow,ESTAT:HSW_AC13(1.0),A,F,Y15-64,FOR,PC_EMP_PREEMP_M12,IT,2013,1.1,
