STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,deviatn,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,N,DEV_8,EU_V,2005,8.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,N,DEV_9,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,N,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_1,EU_V,2005,0.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_2,EU_V,2005,1.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_3,EU_V,2005,6.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_4,EU_V,2005,17.3,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_5,EU_V,2005,27.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_6,EU_V,2005,16.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_7,EU_V,2005,22.6,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_8,EU_V,2005,5.8,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,DEV_9,EU_V,2005,2.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,O,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_1,EU_V,2005,1.0,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_2,EU_V,2005,1.1,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_3,EU_V,2005,6.5,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_4,EU_V,2005,14.9,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_5,EU_V,2005,46.4,
dataflow,ESTAT:HSW_AW_DE3(1.0),A,PC,D_GE4,TOTAL,T,P,DEV_6,EU_V,2005,13.2,
