STRUCTURE,STRUCTURE_ID,freq,bmi,sex,age,quantile,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,PL,2008,65.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,RO,2008,62.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,SI,2008,61.9,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,SK,2008,60.6,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU1,TR,2008,55.7,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,AT,2008,69.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,BE,2008,62.8,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,BG,2008,63.3,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,CY,2008,62.7,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,CZ,2008,62.9,u
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,DE,2008,59.5,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,EE,2008,66.9,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,EL,2008,65.4,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,ES,2008,62.0,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,HU,2008,56.1,
dataflow,ESTAT:HLTH_EHIS_DE2(1.0),A,18P5-25,F,Y18-44,QU2,LV,2008,56.1,
