STRUCTURE,STRUCTURE_ID,freq,unit,barrier,isced97,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,NL,2012,186.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,NO,2012,118.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,PL,2012,613.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,PT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,RO,2012,584.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,SE,2012,115.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,SI,2012,42.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,SK,2012,135.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED3_4,T,UK,2012,1750.8,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,AT,2012,7.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,BE,2012,61.6,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,BG,2012,17.0,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,CY,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,CZ,2012,10.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,DE,2012,304.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,DK,2012,20.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,EE,2012,8.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,EEA,2012,1685.8,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,EL,2012,9.5,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,ES,2012,80.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,EU27_2007,2012,1656.3,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,FI,2012,11.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,FR,2012,107.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,HU,2012,42.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,IS,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,IT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,LT,2012,15.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,LU,2012,0.8,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,LV,2012,9.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,MT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,NL,2012,56.1,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,NO,2012,29.0,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,PL,2012,16.4,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,PT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,RO,2012,37.4,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,SE,2012,17.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,SI,2012,4.1,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,SK,2012,6.6,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,F,UK,2012,775.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,AT,2012,14.9,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,BE,2012,22.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,BG,2012,15.5,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,CY,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,CZ,2012,16.5,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,DE,2012,562.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,DK,2012,16.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,EE,2012,2.5,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,EEA,2012,1659.7,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,EL,2012,24.4,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,ES,2012,105.4,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,EU27_2007,2012,1639.5,e
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,FI,2012,9.1,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,FR,2012,78.3,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,HU,2012,33.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,IS,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,IT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,LT,2012,8.2,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,LU,2012,1.3,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,LV,2012,2.5,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,MT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,NL,2012,46.7,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,NO,2012,19.9,
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,PL,2012,30.1,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,PT,2012,,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,RO,2012,16.1,u
dataflow,ESTAT:HLTH_DSI100(1.0),A,THS,ACS_BLD,ED5_6,M,SE,2012,9.8,u
