STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,NO,2012,369.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,PL,2012,3261.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,PT,2012,560.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,RO,2012,1436.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,SE,2012,583.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,SI,2012,211.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,SK,2012,464.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,AS1095,T,UK,2012,4149.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,AT,2012,550.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,BE,2012,734.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,BG,2012,632.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,CY,2012,42.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,CZ,2012,671.8,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,DE,2012,6398.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,DK,2012,419.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,EE,2012,123.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,EEA,2012,36156.7,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,EL,2012,826.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,ES,2012,3549.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,EU27_2007,2012,35783.3,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,FI,2012,286.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,FR,2012,3460.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,HU,2012,1016.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,IS,2012,21.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,IT,2012,4117.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,LT,2012,325.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,LU,2012,31.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,LV,2012,207.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,MT,2012,17.9,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,NL,2012,1095.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,NO,2012,352.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,PL,2012,2995.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,PT,2012,646.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,RO,2012,1414.2,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,SE,2012,551.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,SI,2012,162.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,SK,2012,414.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,F,UK,2012,5091.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,AT,2012,416.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,BE,2012,438.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,BG,2012,427.0,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,CY,2012,31.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,CZ,2012,424.5,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,DE,2012,4973.7,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,DK,2012,286.1,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,EE,2012,62.4,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,EEA,2012,23899.2,e
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,EL,2012,495.3,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,ES,2012,2136.6,
dataflow,ESTAT:HLTH_DPEH180(1.0),A,THS,PB1040,TOTAL,M,EU27_2007,2012,23704.0,e
