STRUCTURE,STRUCTURE_ID,freq,sex,age,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,IE,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,IS,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,IT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,IT,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,LT,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,LT,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,LV,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,MT,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,NL,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,NO,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,NO,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,PL,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,PL,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,PT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,RO,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,SE,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,SE,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,SI,2013,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,SI,2020,,c
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,SK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,TR,2013,74.6,
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,B-E,PC_PER_ACC,UK,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,F,PC_EMP_PREEMP_M12,AT,2013,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,F,PC_EMP_PREEMP_M12,AT,2020,,u
dataflow,ESTAT:HSW_AC6B(1.0),A,F,Y15-34,F,PC_EMP_PREEMP_M12,BE,2013,,u
