STRUCTURE,STRUCTURE_ID,freq,unit,hhcomp,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,BE,2012,287.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,BG,2012,339.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,CY,2012,30.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,CZ,2012,387.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,DE,2012,3816.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,DK,2012,219.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,EE,2012,44.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,EEA,2012,14510.8,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,EL,2012,332.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,ES,2012,815.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,EU27_2007,2012,14326.3,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,FI,2012,197.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,FR,2012,1668.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,HU,2012,476.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,IS,2012,8.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,IT,2012,1528.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,LT,2012,84.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,LU,2012,11.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,LV,2012,94.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,MT,2012,6.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,NL,2012,558.6,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,NO,2012,176.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,PL,2012,887.3,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,PT,2012,240.9,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,RO,2012,261.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,SE,2012,298.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,SI,2012,65.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,SK,2012,141.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,AS1095,T,UK,2012,1294.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,AT,2012,147.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,BE,2012,266.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,BG,2012,223.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,CY,2012,23.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,CZ,2012,302.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,DE,2012,2510.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,DK,2012,155.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,EE,2012,38.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,EEA,2012,11675.3,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,EL,2012,274.5,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,ES,2012,854.8,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,EU27_2007,2012,11528.3,e
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,FI,2012,105.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,FR,2012,1413.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,HU,2012,296.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,IS,2012,6.4,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,IT,2012,1795.2,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,LT,2012,67.1,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,LU,2012,6.7,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,LV,2012,56.0,
dataflow,ESTAT:HLTH_DPEH160(1.0),A,THS,CPL_NYCH,TOTAL,F,MT,2012,5.4,
