STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,reason,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,FI,2011,3.461,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,HU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,IT,2011,12.635,
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,NL,2011,2.6,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,PL,2011,13.284,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM060(1.0),A,THS,PB1040,FAMCARE,Y25-34,F,RO,2011,,u
