STRUCTURE,STRUCTURE_ID,freq,isced97,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,CZ,2008,29.3,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,EE,2008,33.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,EL,2008,31.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,ES,2008,30.4,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,FR,2008,44.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,HU,2008,30.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,LV,2008,25.3,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,MT,2008,32.3,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,PL,2008,32.6,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,RO,2008,58.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,SI,2008,38.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,SK,2008,24.1,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y75-84,TR,2008,46.2,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,AT,2008,55.1,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,BE,2008,53.7,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,BG,2008,72.8,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,CY,2008,44.5,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,EL,2008,45,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,ES,2008,39.3,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,FR,2008,52.8,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,HU,2008,55.4,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,LV,2008,42.7,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,PL,2008,39.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,RO,2008,68.1,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,SK,2008,55.8,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,F,Y_GE85,TR,2008,45,u
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,AT,2008,37.5,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,BE,2008,40.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,BG,2008,44.4,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,CY,2008,34.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,CZ,2008,49.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,DE,2008,43.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,EE,2008,47.2,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,EL,2008,31.9,
dataflow,ESTAT:HLTH_EHIS_DE1(1.0),A,ED0-2,18P5-25,M,TOTAL,ES,2008,33.1,
