STRUCTURE,STRUCTURE_ID,freq,unit,icha11_fs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2012,2340.41,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2013,2458.14,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2014,2725.81,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2015,3113.64,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2016,3699.80,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2017,4316.48,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2018,4351.70,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2019,4339.71,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2020,4127.70,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,IS,2021,4724.75,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2014,216.53,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2015,225.16,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2016,235.89,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2017,242.62,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2018,269.15,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2019,307.67,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LT,2020,383.36,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2011,1744.31,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2012,1633.69,b
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2013,1708.60,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2014,1779.18,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2015,1776.68,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2016,1822.07,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2017,1868.75,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2018,1935.22,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2019,2072.05,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2020,2340.15,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LU,2021,2590.48,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LV,2017,473.79,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LV,2018,559.06,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LV,2019,634.63,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,LV,2020,732.25,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2014,1121.90,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2015,1210.52,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2016,1308.19,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2017,1400.64,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2018,1453.51,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2019,1609.49,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,MT,2020,1832.19,p
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,1998,319.58,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,1999,311.60,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2000,312.71,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2001,445.53,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2002,531.99,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2003,540.14,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2004,609.58,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2005,620.65,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2006,717.79,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2007,752.12,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2008,823.99,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2009,907.18,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2010,930.46,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2011,948.06,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2012,950.23,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2013,901.43,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2014,895.17,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2015,991.98,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2016,987.12,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2017,945.05,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2018,971.82,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2019,1096.29,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NL,2020,1512.94,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NO,2015,5268.44,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NO,2016,5760.82,
dataflow,ESTAT:HLTH_SHA11_FS(1.0),A,EUR_HAB,FS1,NO,2017,5879.24,
