STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,icha_hc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,DAY,PC,SK,2008,2.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,AT,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,BE,2008,12.5,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,BG,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,CY,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,CZ,2008,8.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,EL,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,ES,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,FR,2008,10.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,HU,2008,10.0,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,LV,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,MT,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,PL,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,RO,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,SI,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED3_4,IN,PC,SK,2008,5.1,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,AT,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,BE,2008,10.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,CY,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,EL,2008,5.5,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,ES,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,HU,2008,8.6,u
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,LV,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC8(1.0),A,F,Y15-24,ED5_6,DAY,PC,MT,2008,7.3,
