STRUCTURE,STRUCTURE_ID,freq,unit,isced97,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,DE,2012,1776.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,DK,2012,315.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,EE,2012,21.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,EEA,2012,18410.9,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,EL,2012,685.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,ES,2012,2339.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,EU27_2007,2012,18270.1,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,FI,2012,291.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,FR,2012,1749.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,HU,2012,715.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,IS,2012,15.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,IT,2012,2638.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,LT,2012,94.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,LU,2012,18.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,LV,2012,101.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,MT,2012,22.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,NL,2012,780.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,NO,2012,125.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,PL,2012,2171.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,PT,2012,620.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,RO,2012,959.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,SE,2012,257.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,SI,2012,114.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,SK,2012,149.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,AS1095,T,UK,2012,1062.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,AT,2012,223.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,BE,2012,438.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,BG,2012,353.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,CY,2012,37.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,CZ,2012,251.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,DE,2012,1818.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,DK,2012,270.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,EE,2012,34.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,EEA,2012,21125.9,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,EL,2012,808.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,ES,2012,3191.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,EU27_2007,2012,20993.0,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,FI,2012,189.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,FR,2012,2249.5,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,HU,2012,648.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,IS,2012,12.7,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,IT,2012,3984.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,LT,2012,134.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,LU,2012,15.0,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,LV,2012,87.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,MT,2012,20.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,NL,2012,619.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,NO,2012,120.2,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,PL,2012,2174.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,PT,2012,658.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,RO,2012,1051.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,SE,2012,197.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,SI,2012,114.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,SK,2012,168.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,F,UK,2012,1250.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,AT,2012,207.3,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,BE,2012,268.8,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,BG,2012,232.6,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,CY,2012,24.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,CZ,2012,104.2,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,DE,2012,949.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,DK,2012,176.4,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,EE,2012,15.3,u
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,EEA,2012,12616.3,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,EL,2012,450.1,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,ES,2012,1876.9,
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,EU27_2007,2012,12548.1,e
dataflow,ESTAT:HLTH_DPEH140(1.0),A,THS,ED0-2,TOTAL,M,FI,2012,157.1,
