STRUCTURE,STRUCTURE_ID,freq,severity,nace_r1,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2006,26419,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,I,NR,EU15_NO,2007,21222,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,1996,19620,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,1997,16815,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,1998,18177,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,1999,21375,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2000,24007,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2001,24350,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2002,24882,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2003,40949,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2004,26929,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2005,26632,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2006,25051,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,J_K,NR,EU15_NO,2007,22039,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,1996,297775,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,1997,240793,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,1998,247131,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,1999,249687,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2000,266500,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2001,269260,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2002,266107,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2003,516906,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2004,357234,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2005,361973,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2006,315325,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D21-M1,TOTAL,NR,EU15_NO,2007,230765,p
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D4-6,A,NR,EU15_NO,1996,18471,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D4-6,A,NR,EU15_NO,1997,18498,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D4-6,A,NR,EU15_NO,1998,17258,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D4-6,A,NR,EU15_NO,1999,16464,
dataflow,ESTAT:HSW_AW_NNASV(1.0),A,D4-6,A,NR,EU15_NO,2000,16052,
