STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,isco08,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,TR,2011,581.507,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y25-34,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,TR,2011,345.613,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,F,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,NL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,TR,2011,646.786,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,M,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,LU,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,NL,2011,2.203,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,PL,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,SE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,SI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,TR,2011,992.399,
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y35-44,T,UK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,CH,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,DE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,DK,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,EU28,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM130(1.0),A,THS,PB1040,NRP,Y45-54,F,IE,2011,,u
