STRUCTURE,STRUCTURE_ID,freq,unit,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2016,1.14,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2017,1.25,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2018,1.27,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SI,2019,1.31,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2012,0.13,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2014,0.17,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2015,0.16,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2016,0.21,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2017,0.21,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2018,0.20,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DAY_HOSP,SK,2019,0.21,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2005,1.70,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2006,1.72,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2007,1.76,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2008,1.83,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2009,1.75,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2010,1.75,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2011,1.81,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2012,1.76,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2013,1.79,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2014,1.78,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2015,1.76,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2016,1.70,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2017,1.72,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2018,1.80,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,AT,2019,1.92,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,BE,2012,1.80,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,BE,2014,1.72,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,BE,2017,1.90,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,BE,2018,1.91,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,BE,2019,1.98,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2011,0.38,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2012,0.38,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2013,0.41,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2014,0.46,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2015,0.51,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2016,0.60,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2017,0.67,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2018,0.74,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,CZ,2019,0.87,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2011,0.48,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2012,0.51,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2013,0.53,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2014,0.55,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2015,0.56,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2016,0.56,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2017,0.53,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DE,2018,0.54,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DK,2014,0.66,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DK,2015,0.68,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,DK,2016,0.70,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,EE,2015,0.39,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,EE,2016,0.36,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,EE,2017,0.39,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,EE,2018,0.46,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,EE,2019,0.42,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2011,1.11,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2012,0.80,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2013,1.20,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2014,1.01,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2015,1.33,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2016,1.15,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2017,1.00,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2018,0.93,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,ES,2019,0.81,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FI,2017,0.46,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FI,2018,0.46,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FR,2016,0.27,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FR,2017,0.34,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FR,2018,0.25,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,FR,2019,0.29,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2011,0.43,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2012,0.41,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2013,0.56,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2014,0.61,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2015,0.58,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2016,0.58,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2017,0.87,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2018,0.77,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HR,2019,0.73,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2004,0.69,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2005,0.67,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2006,0.67,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2007,0.63,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2008,0.62,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2009,0.64,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2010,0.62,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2011,0.59,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2012,0.60,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2013,0.61,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2014,0.59,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2015,0.58,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2017,0.54,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2018,0.49,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,HU,2019,0.47,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2010,0.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2011,0.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2012,0.23,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2013,0.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2014,0.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2015,0.24,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2016,0.26,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2017,0.26,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2018,0.27,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IE,2019,0.28,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2011,0.82,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2012,0.82,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2013,0.79,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2014,0.82,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2015,0.87,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2016,0.93,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2017,0.87,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2018,0.82,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,IT,2019,0.85,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2011,0.11,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2012,0.19,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2013,0.21,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2014,0.24,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2015,0.25,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2016,0.29,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2017,0.44,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2018,0.48,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LT,2019,0.37,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2006,2.56,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2007,2.93,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2008,3.38,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2009,3.70,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2010,3.98,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2011,4.13,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2012,4.44,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2013,5.02,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2014,5.22,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2015,5.51,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LU,2016,5.99,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2012,0.14,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2013,0.17,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2014,0.06,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2015,0.06,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2016,0.06,
dataflow,ESTAT:HLTH_CO_DISCHNR(1.0),A,PC,DISCH,LV,2017,0.06,
