STRUCTURE,STRUCTURE_ID,freq,sex,age,isced97,levels,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,EL,2008,84.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,ES,2008,92.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,FR,2008,95.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,HU,2008,85.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,LV,2008,89.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,PL,2008,91.5,u
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,RO,2008,93.0,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,SI,2008,100,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,SK,2008,91.9,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,NONE,PC,TR,2008,92.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,BG,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,CY,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,CZ,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,EL,2008,14.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,ES,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,FR,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,HU,2008,7.5,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,LV,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,PL,2008,4.8,u
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,RO,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,SK,2008,4.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED0-2,SEV,PC,TR,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,BG,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,CY,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,CZ,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,EL,2008,0.2,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,ES,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,FR,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,HU,2008,1.8,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,LV,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,MT,2008,3.1,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,PL,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST11(1.0),A,F,Y15-24,ED3_4,MOD,PC,RO,2008,1.0,
