STRUCTURE,STRUCTURE_ID,freq,unit,quantile,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,NL,2012,173.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,NO,2012,59.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,PL,2012,292.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,PT,2012,17.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,RO,2012,459.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,SE,2012,46.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,SI,2012,18.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,SK,2012,105.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,F,UK,2012,904.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,AT,2012,77.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,BE,2012,52.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,BG,2012,84.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,CY,2012,3.1,u
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,CZ,2012,36.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,DE,2012,1019.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,DK,2012,40.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,EE,2012,11.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,EEA,2012,4049.1,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,EL,2012,35.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,ES,2012,237.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,EU27_2007,2012,4013.9,e
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,FI,2012,57.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,FR,2012,328.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,HU,2012,125.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,IS,2012,1.3,u
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,IT,2012,99.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,LT,2012,20.7,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,LU,2012,5.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,LV,2012,25.8,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,MT,2012,2.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,NL,2012,130.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,NO,2012,33.9,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,PL,2012,306.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,PT,2012,18.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,RO,2012,433.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,SE,2012,31.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,SI,2012,19.6,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,SK,2012,65.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,M,UK,2012,744.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,AT,2012,152.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,BE,2012,134.1,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,BG,2012,185.5,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,CY,2012,6.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,CZ,2012,78.3,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,DE,2012,2310.4,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,DK,2012,91.2,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,EE,2012,30.0,
dataflow,ESTAT:HLTH_DPEH030(1.0),A,THS,QU1,PB0000,Y45-64,T,EEA,2012,9252.8,e
