STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,NL,2011,21.536,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,PL,2011,45.281,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,PT,2011,13.005,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,RO,2011,23.054,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,SE,2011,21.215,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,SI,2011,1.527,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,SK,2011,3.88,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,TR,2011,194.763,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,M,UK,2011,137.433,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,AT,2011,44.766,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,BE,2011,25.781,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,BG,2011,11.492,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,CH,2011,48.274,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,CY,2011,2.359,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,CZ,2011,9.616,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,DE,2011,206.443,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,DK,2011,20.726,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,EE,2011,5.137,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,EL,2011,8.032,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,ES,2011,46.948,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,FI,2011,18.501,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,FR,2011,232.967,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,HU,2011,12.749,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,IE,2011,7.167,
dataflow,ESTAT:HLTH_DE060(1.0),A,THS,NO,PB1040,Y15-24,T,IS,2011,3.474,
