STRUCTURE,STRUCTURE_ID,freq,lev_diff,sex,age,yes_no,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,EE,2019,29.5,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,EL,2019,56.7,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,ES,2019,47.9,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,EU27_2020,2019,52.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,FI,2019,43.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,FR,2019,43.8,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,HR,2019,67.3,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,HU,2019,52.0,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,IE,2019,40.9,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,IS,2019,32.0,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,IT,2019,52.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,LT,2019,72.1,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,LU,2019,37.1,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,LV,2019,69.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,MT,2019,48.2,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,NL,2019,58.4,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,NO,2019,22.6,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,PL,2019,67.6,
dataflow,ESTAT:HLTH_EHIS_TAHCS(1.0),A,LTD,F,Y_GE65,NO,PC,PT,2019,62.7,
