STRUCTURE,STRUCTURE_ID,freq,deg_urb,sex,age,lev_diff,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,SI,2019,11.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,SK,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y55-64,SEV,PC,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,AT,2014,29.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,AT,2019,36.1,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,BE,2014,41.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,BE,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,BG,2014,50.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,BG,2019,41.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,CY,2014,49.3,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,CY,2019,51.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,CZ,2014,63.6,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,CZ,2019,47.7,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,DE,2014,34.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,DE,2019,36.9,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,DK,2014,29.8,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,DK,2019,20.0,
dataflow,ESTAT:HLTH_EHIS_TAU(1.0),A,DEG1,F,Y65-74,LTD,PC,EE,2014,14.5,
