STRUCTURE,STRUCTURE_ID,freq,unit,quantile,assist,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,EL,2012,242.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,ES,2012,1325.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,EU27_2007,2012,15130.5,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,FI,2012,178.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,FR,2012,1251.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,HU,2012,525.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,IS,2012,7.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,IT,2012,996.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,LT,2012,95.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,LU,2012,12.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,LV,2012,112.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,MT,2012,10.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,NL,2012,425.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,NO,2012,155.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,PL,2012,957.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,PT,2012,71.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,RO,2012,1314.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,SE,2012,180.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,SI,2012,73.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,SK,2012,227.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,F,UK,2012,2342.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,AT,2012,162.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,BE,2012,123.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,BG,2012,205.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,CY,2012,6.9,u
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,CZ,2012,107.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,DE,2012,2305.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,DK,2012,128.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,EE,2012,22.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,EEA,2012,9687.8,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,EL,2012,105.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,ES,2012,657.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,EU27_2007,2012,9606.4,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,FI,2012,128.2,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,FR,2012,685.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,HU,2012,275.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,IS,2012,3.9,u
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,IT,2012,597.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,LT,2012,46.5,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,LU,2012,9.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,LV,2012,43.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,MT,2012,6.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,NL,2012,264.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,NO,2012,77.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,PL,2012,605.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,PT,2012,42.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,RO,2012,1038.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,SE,2012,127.8,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,SI,2012,42.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,SK,2012,109.4,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,M,UK,2012,1759.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,AT,2012,336.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,BE,2012,302.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,BG,2012,607.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,CY,2012,20.3,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,CZ,2012,304.7,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,DE,2012,5867.0,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,DK,2012,319.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,EE,2012,91.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,EEA,2012,24981.2,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,EL,2012,347.6,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,ES,2012,1982.9,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,EU27_2007,2012,24736.9,e
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,FI,2012,306.1,
dataflow,ESTAT:HLTH_DPEH150(1.0),A,THS,QU1,TOTAL,T,FR,2012,1936.4,
