STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,ES,2011,52.184,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,EU28,2011,806.766,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,FR,2011,128.343,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,IT,2011,7.536,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,LU,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,NL,2011,1.5,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,SE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,M,UK,2011,15.212,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,CH,2011,10.37,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,DE,2011,1116.399,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,ES,2011,93.575,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,EU28,2011,1597.864,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,FR,2011,334.972,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,IT,2011,9.829,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,LU,2011,0.69,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,NL,2011,3.345,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,SE,2011,7.964,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y35-44,T,UK,2011,26.907,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,CH,2011,6.477,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,DE,2011,804.531,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,ES,2011,72.599,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,EU28,2011,1247.105,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,FR,2011,323.176,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,IT,2011,5.955,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,LU,2011,0.68,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,NL,2011,4.252,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,PT,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,SE,2011,8.579,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,SK,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,F,UK,2011,22.252,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,CH,2011,4.156,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,CZ,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,DE,2011,864.515,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,EL,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,ES,2011,93.148,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,EU28,2011,1220.454,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,FI,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,FR,2011,236.229,
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,IE,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,IS,2011,,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,IT,2011,6.494,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,LU,2011,0.525,u
dataflow,ESTAT:HLTH_DLM160(1.0),A,THS,NRP,Y45-54,M,LV,2011,,u
