STRUCTURE,STRUCTURE_ID,freq,unit,severity,age,sex,nace_r1,physact,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,PHA_5,EU_V,2005,91.7,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,TOTAL,UNK,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_1,EU_V,2005,3.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_2,EU_V,2005,18.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_3,EU_V,2005,6.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_4,EU_V,2005,25.1,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_5,EU_V,2005,12.6,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_6,EU_V,2005,31.8,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_7,EU_V,2005,1.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,PHA_9,EU_V,2005,0.3,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,UNK,T,TOTAL,TOTAL,EU_V,2005,100.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,PHA_1,EU_V,2005,7.0,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,PHA_2,EU_V,2005,24.9,
dataflow,ESTAT:HSW_AW_PA3(1.0),A,PC,D_GE4,Y15-17,T,TOTAL,PHA_3,EU_V,2005,6.8,
