STRUCTURE,STRUCTURE_ID,freq,lev_limit,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SE,2020,35.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SI,2007,7.6,du
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SI,2013,12.6,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SI,2020,21.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SK,2007,18.9,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SK,2013,19.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,SK,2020,17.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,TR,2013,9.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,UK,2007,26.8,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-64,PC_PER_HPB,UK,2013,25.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,AT,2020,2.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,BE,2020,1.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,BG,2020,0.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,CH,2020,2.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,CY,2020,0.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,CZ,2020,0.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,DE,2020,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,DK,2020,1.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,EA19,2020,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,EE,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,EL,2020,0.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,ES,2020,1.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,EU27_2020,2020,2.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,FI,2020,8.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,FR,2020,1.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,HR,2020,0.5,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,HU,2020,0.3,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,IE,2020,0.7,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,IS,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,IT,2020,1.5,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,LT,2020,0.4,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,LU,2020,0.8,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,LV,2020,0.1,u
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,MT,2020,1.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,NL,2020,0.9,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,NO,2020,2.2,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,PL,2020,15.4,d
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,PT,2020,1.0,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,RO,2020,0.1,
dataflow,ESTAT:HSW_PB4(1.0),A,NONE,Y15-74,PC_EMP_PREEMP,SE,2020,6.5,
