STRUCTURE,STRUCTURE_ID,freq,factor,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,LV,2020,4.4,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,MT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,NL,2020,0.8,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,NO,2020,7.5,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,PL,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,PT,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,RO,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,SE,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,SI,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,SGN_OTH,Y65-74,PC_EMP,T,SK,2020,,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,AT,2007,20.9,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,AT,2013,30.4,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,AT,2020,23.4,b
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BE,2007,9.5,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BE,2013,24.5,b
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BE,2020,20.0,bu
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BG,2007,10.2,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BG,2013,9.6,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,BG,2020,15.7,b
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,CH,2013,29.7,
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,CH,2020,22.8,b
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,CY,2007,23.0,d
dataflow,ESTAT:HSW_EXP3(1.0),A,TPR_OLWRK,Y15-34,PC_EMP,F,CY,2013,13.9,
