STRUCTURE,STRUCTURE_ID,freq,unit,barrier,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,PT,2012,53.4,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,RO,2012,214.5,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SE,2012,28.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SI,2012,17.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,SK,2012,47.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,M,UK,2012,881.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,AT,2012,100.0,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,BE,2012,171.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,BG,2012,118.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,CY,2012,6.7,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,CZ,2012,104.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,DE,2012,1617.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,DK,2012,111.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,EE,2012,21.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,EEA,2012,8061.2,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,EL,2012,120.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,ES,2012,550.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,EU27_2007,2012,7982.4,e
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,FI,2012,67.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,FR,2012,704.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,HU,2012,283.6,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,IS,2012,1.8,u
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,IT,2012,344.3,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,LT,2012,45.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,LU,2012,6.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,LV,2012,17.1,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,MT,2012,4.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,NL,2012,232.8,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,NO,2012,76.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,PL,2012,653.9,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,PT,2012,115.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,RO,2012,468.7,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,SE,2012,72.2,
dataflow,ESTAT:HLTH_DSI090(1.0),A,THS,ACS_BLD,Y45-64,T,SI,2012,34.4,
