STRUCTURE,STRUCTURE_ID,freq,sex,age,sizes,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BE,2020,51.5,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BG,2007,,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BG,2013,6.4,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,BG,2020,51.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CH,2013,34.0,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CH,2020,60.7,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CY,2007,30.4,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CY,2013,10.1,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CY,2020,35.2,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CZ,2007,11.1,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CZ,2013,12.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,CZ,2020,37.5,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DE,2007,7.5,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DE,2013,10.9,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DE,2020,18.9,bu
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DK,2007,12.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DK,2013,8.8,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,DK,2020,33.8,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EA19,2007,17.7,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EA19,2013,25.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EA19,2020,38.9,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EE,2007,10.5,du
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EE,2013,,u
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EE,2020,38.3,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EL,2007,12.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EL,2013,26.9,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EL,2020,68.6,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,ES,2007,16.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,ES,2013,15.3,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,ES,2020,40.3,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EU27_2020,2007,16.7,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EU27_2020,2013,22.6,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EU27_2020,2020,40.4,b
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EU28,2007,17.2,d
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,EU28,2013,22.8,
dataflow,ESTAT:HSW_EXP9(1.0),A,F,Y15-34,SMAL,PC_EMP,FI,2007,31.7,
