STRUCTURE,STRUCTURE_ID,freq,unit,source,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2014,59.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2015,58.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2016,55.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2017,57.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2018,57.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2019,61.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IS,2020,62.00,d
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2004,59.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2005,60.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2006,59.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2007,61.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2008,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2009,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2010,59.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2011,59.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2012,57.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2013,62.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2014,57.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2015,55.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2016,60.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2017,59.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2018,60.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2019,60.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,IT,2020,51.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2009,57.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2010,30.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2011,47.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2014,11.65,b
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2015,14.43,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2016,8.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2017,8.10,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2018,5.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LI,2019,2.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2006,12.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2007,22.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2008,23.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2009,25.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2010,28.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2011,32.60,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2012,37.50,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2013,38.40,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2014,40.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2015,44.80,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2016,46.20,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2017,48.30,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2018,50.00,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2019,52.90,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2020,45.70,
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LT,2021,45.50,p
dataflow,ESTAT:HLTH_PS_SCRE(1.0),A,PC,PRG,C50,LU,2000,61.30,
