STRUCTURE,STRUCTURE_ID,freq,sex,age,accident,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,CZ,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,EL,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,ES,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,HU,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,LV,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,MT,2008,5.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,PL,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,SI,2008,12.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,SK,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED3_4,TR,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,BE,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,CY,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,EL,2008,0.6,u
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,ES,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,LV,2008,2.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,MT,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,ED5_6,PL,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,BE,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,BG,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,CY,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,CZ,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,EL,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,ES,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,HU,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,LV,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,MT,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,PL,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,RO,2008,0.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,SI,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,SK,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y15-24,RD_TRF,TOTAL,TR,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,BE,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,CY,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,ES,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,HU,2008,6.3,u
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,LV,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,PL,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,RO,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED0-2,TR,2008,3.6,
dataflow,ESTAT:HLTH_EHIS_ST2(1.0),A,F,Y25-34,HOM_SCH,ED3_4,BE,2008,0.7,
