STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,n_job,worktime,nace_r1,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,G,EU_V,1999,167,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,H,EU_V,1999,295,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,I,EU_V,1999,323,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,J,EU_V,1999,243,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,M,EU_V,1999,315,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,N,EU_V,1999,113,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,O,EU_V,1999,212,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,GE2,TOTAL,TOTAL,EU_V,1999,134,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H1-9,TOTAL,EU_V,1999,346,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H10-19,TOTAL,EU_V,1999,158,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H20-29,TOTAL,EU_V,1999,96,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,A,EU_V,1999,102,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,D,EU_V,1999,37,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,G,EU_V,1999,45,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,H,EU_V,1999,163,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,I,EU_V,1999,43,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,K,EU_V,1999,22,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,M,EU_V,1999,29,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,N,EU_V,1999,48,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,O,EU_V,1999,43,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H30-39,TOTAL,EU_V,1999,41,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,A,EU_V,1999,39,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,D,EU_V,1999,88,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,F,EU_V,1999,33,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,G,EU_V,1999,68,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,H,EU_V,1999,111,
dataflow,ESTAT:HSW_IJ_HJNAS(1.0),A,RT,F,Y15-24,TOTAL,H40-49,I,EU_V,1999,42,
