STRUCTURE,STRUCTURE_ID,freq,sex,age,levels,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,EE,2008,10.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,EL,2008,14.0,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,ES,2008,16.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,HU,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,LV,2008,9.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,MT,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,PL,2008,17.1,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,RO,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,SI,2008,18.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,SK,2008,16.4,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED0-2,TR,2008,11.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,BG,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,CY,2008,5.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,CZ,2008,6.3,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,EE,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,EL,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,ES,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,HU,2008,5.5,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,LV,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,MT,2008,5.6,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,PL,2008,8.7,
dataflow,ESTAT:HLTH_EHIS_ST4(1.0),A,F,TOTAL,SEV,ED3_4,RO,2008,2.4,
