STRUCTURE,STRUCTURE_ID,freq,unit,deg_urb,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,EL,2011,6.319,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,ES,2011,36.062,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,FI,2011,15.695,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,FR,2011,268.26,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,HR,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,HU,2011,5.683,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,IE,2011,4.975,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,IT,2011,42.818,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,LT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,LU,2011,1.265,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,LV,2011,5.209,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,NL,2011,83.441,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,PL,2011,49.535,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,PT,2011,29.727,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,RO,2011,16.024,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,SE,2011,32.079,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,SI,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,SK,2011,3.164,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y15-24,T,UK,2011,346.517,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,AT,2011,35.275,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,BE,2011,26.973,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,BG,2011,6.279,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,CH,2011,33.038,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,CY,2011,0.89,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,CZ,2011,4.652,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,DE,2011,189.175,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,DK,2011,16.116,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,EE,2011,5.27,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,EL,2011,5.151,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,ES,2011,61.275,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,FI,2011,14.097,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,FR,2011,259.52,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,HU,2011,5.511,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,IE,2011,3.837,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,IT,2011,53.623,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,LU,2011,2.143,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,LV,2011,4.64,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,NL,2011,71.491,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,PL,2011,43.64,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,PT,2011,27.234,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,RO,2011,16.298,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,SE,2011,15.385,
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,SI,2011,,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,SK,2011,3.225,u
dataflow,ESTAT:HLTH_DP080(1.0),A,THS,DEG1,PB1040,Y25-34,F,UK,2011,304.935,
