STRUCTURE,STRUCTURE_ID,freq,unit,isced97,hlth_pb,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,SE,2011,57.617,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,SI,2011,3.249,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,SK,2011,8.219,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,TR,2011,453.445,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y15-24,T,UK,2011,205.752,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,AT,2011,11.486,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,BE,2011,17.068,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,BG,2011,8.836,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,CH,2011,12.453,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,CY,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,CZ,2011,5.926,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,DE,2011,90.76,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,DK,2011,14.831,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,EL,2011,5.792,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,ES,2011,49.004,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,FI,2011,6.004,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,FR,2011,110.251,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,HU,2011,7.29,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,IE,2011,3.327,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,IS,2011,1.2,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,IT,2011,39.759,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,LU,2011,1.222,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,NL,2011,25.406,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,PL,2011,22.232,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,PT,2011,35.93,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,RO,2011,22.702,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,SE,2011,12.447,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,SI,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,SK,2011,3.618,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,TR,2011,485.628,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,F,UK,2011,120.051,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,AT,2011,8.339,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,BE,2011,18.76,
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,CH,2011,5.93,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,CY,2011,0.94,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,CZ,2011,5.174,u
dataflow,ESTAT:HLTH_DE040(1.0),A,THS,ED0-2,PB1040,Y25-34,M,DE,2011,84.627,
