STRUCTURE,STRUCTURE_ID,freq,icd10,sex,age,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,BE,2008,4.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,CY,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,EL,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,ES,2008,1.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,FR,2008,4.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,HU,2008,4.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,LV,2008,2.6,u
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,PL,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,RO,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,SI,2008,4.6,u
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED0-2,TR,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,AT,2008,1.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,BE,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,BG,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,CY,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,CZ,2008,2.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,EE,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,EL,2008,2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,ES,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,FR,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,HU,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,LV,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,MT,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,PL,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,RO,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,SI,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,SK,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED3_4,TR,2008,1.9,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,AT,2008,0.5,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,BE,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,EE,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,ES,2008,0.6,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,FR,2008,1.1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,HU,2008,2.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,LV,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,PL,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,RO,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,SI,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,SK,2008,1,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,ED5_6,TR,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,AT,2008,1.4,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,BE,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,BG,2008,0.3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,CY,2008,0.8,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,CZ,2008,3,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,EE,2008,0.7,
dataflow,ESTAT:HLTH_EHIS_ST1(1.0),A,E10-E14,F,Y35-44,TOTAL,EL,2008,1.3,
