STRUCTURE,STRUCTURE_ID,freq,unit,lev_limit,acl00,frequenc,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,BG,2006,11.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,CY,2006,22.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,CZ,2006,28.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,DE,2006,40.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,DK,2006,36.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,EE,2006,25.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,EL,2006,28.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,ES,2006,25.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,EU27_2007,2006,30.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,FI,2006,36.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,FR,2006,28.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,HU,2006,19.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,IE,2006,27.5,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,IS,2006,35.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,IT,2006,27.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,LT,2006,24.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,LU,2006,23.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,LV,2006,23.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,MT,2006,21.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,NL,2006,34.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,NO,2006,34.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,PL,2006,31.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,PT,2006,22.5,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,SE,2006,43.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,SI,2006,22.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,SK,2006,28.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,TR,2006,13.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,F,UK,2006,31.8,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,AT,2006,22.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,BE,2006,28.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,BG,2006,11.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,CY,2006,20.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,CZ,2006,26.7,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,DE,2006,38.3,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,DK,2006,33.4,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,EE,2006,23.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,EL,2006,27.9,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,ES,2006,24.6,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,EU27_2007,2006,29.1,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,FI,2006,34.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,FR,2006,27.0,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,HU,2006,19.2,
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,IE,2006,26.3,u
dataflow,ESTAT:HLTH_DS010(1.0),A,PC,NONE,AC521,1-3,Y16-64,M,IS,2006,30.7,
