STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,isco08,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2005,511.07,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2006,507.78,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2007,489.75,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2008,521.65,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2009,605.79,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2010,379.17,b
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2011,374.35,be
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2012,184.20,be
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2013,155.39,be
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2014,148.40,be
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2015,133.91,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2016,136.16,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2017,131.36,b
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2018,130.09,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2019,121.27,b
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2020,127.54,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LI,2021,125.98,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LT,2003,128.48,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LT,2004,119.69,
dataflow,ESTAT:HLTH_RS_PRSNS(1.0),A,HAB_P,LIC,OC2221,LT,2005,112.89,
