STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,CH,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,CY,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,CZ,2011,44.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,DK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,EL,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,ES,2011,40.3,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,FI,2011,21.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,FR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,HU,2011,44.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,IE,2011,34.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,IS,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,IT,2011,46.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,LT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,NL,2011,39.6,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,PL,2011,31.5,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,PT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,RO,2011,62.1,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,SE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,TR,2011,57.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,M,UK,2011,33.6,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,AT,2011,28.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,BE,2011,19.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,BG,2011,70.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,CH,2011,27.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,CY,2011,27.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,CZ,2011,37.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,DK,2011,19.3,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,EL,2011,43.1,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,ES,2011,37.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,FI,2011,18.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,FR,2011,26,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,HU,2011,50.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,IE,2011,33.6,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,IS,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,IT,2011,41.0,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,LT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,NL,2011,31.3,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,PL,2011,30.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,PT,2011,35.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,RO,2011,60.0,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,SE,2011,10.9,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,TR,2011,61.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,NEMP,T,UK,2011,35.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,AT,2011,19.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,BE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,BG,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,CH,2011,9.1,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,CY,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,CZ,2011,21.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,DK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,EE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,EL,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,ES,2011,39.9,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,FI,2011,11.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,FR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,HR,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,HU,2011,54.4,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,IE,2011,26.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,IS,2011,40.2,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,IT,2011,28.8,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,LT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,LU,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,LV,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,MT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,NL,2011,20.1,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,PL,2011,26,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,PT,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,RO,2011,55.3,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,SE,2011,8.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,SI,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,SK,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,TR,2011,63.5,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,F,UK,2011,24.4,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,AT,2011,17.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,BE,2011,31.2,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,BG,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,CH,2011,19.1,
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,CY,2011,29.7,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,CZ,2011,34,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,DE,2011,,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,DK,2011,24.8,u
dataflow,ESTAT:HLTH_DE010(1.0),A,PC,PB1040,POP,M,EE,2011,,u
