STRUCTURE,STRUCTURE_ID,freq,unit,barrier,wstatus,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,INAC_OTH,T,UK,2012,365.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,AT,2012,329.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,BE,2012,394.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,BG,2012,338.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,CY,2012,21.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,CZ,2012,222.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,DE,2012,2888.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,DK,2012,174.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,EE,2012,58.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,EEA,2012,14433.7,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,EL,2012,342.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,ES,2012,1143.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,EU27_2007,2012,14269.7,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,FI,2012,154.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,FR,2012,1346.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,HU,2012,361.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,IS,2012,10.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,IT,2012,1311.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,LT,2012,127.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,LU,2012,14.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,LV,2012,98.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,MT,2012,11.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,NL,2012,526.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,NO,2012,153.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,PL,2012,1251.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,PT,2012,288.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,RO,2012,493.5,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,SE,2012,325.1,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,SI,2012,60.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,SK,2012,220.0,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,F,UK,2012,1762.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,AT,2012,268.6,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,BE,2012,285.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,BG,2012,261.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,CY,2012,16.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,CZ,2012,151.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,DE,2012,2851.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,DK,2012,147.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,EE,2012,30.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,EEA,2012,11787.4,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,EL,2012,264.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,ES,2012,869.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,EU27_2007,2012,11667.2,e
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,FI,2012,177.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,FR,2012,1132.2,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,HU,2012,289.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,IS,2012,8.9,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,IT,2012,991.4,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,LT,2012,84.7,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,LU,2012,16.3,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,LV,2012,50.8,
dataflow,ESTAT:HLTH_DSI015(1.0),A,THS,PTP_LD1,POP,M,MT,2012,8.6,
