STRUCTURE,STRUCTURE_ID,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2014,73.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2015,75.9,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2016,76.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2017,76.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,EU28,2018,76.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2004,64.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2005,63.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2006,63.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2007,69.8,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2008,71.5,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2009,70.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2010,69.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2011,69.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2012,67.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2014,68.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2015,66.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2016,67.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2017,66.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2018,65.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2019,64.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2020,65.9,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FI,2021,73,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2004,76.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2005,77.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2006,76.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2007,76.0,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2008,76.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2009,74.7,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2010,74.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2011,74.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2012,74.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2013,75.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2014,74.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2015,75.4,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2016,74.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2017,75.8,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2018,75.1,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2019,75.2,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2020,76.6,b
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,FR,2021,78.3,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,HR,2010,75.6,
dataflow,ESTAT:HLTH_HLYE(1.0),A,PC,F,HLY_PC_0,HR,2011,76.7,
