STRUCTURE,STRUCTURE_ID,freq,age,sex,icd10,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED3_4,TR,2008,2.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,AT,2008,9.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,BE,2008,8.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,BG,2008,14.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,CY,2008,3.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,CZ,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,DE,2008,15.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,EL,2008,4.5,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,ES,2008,6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,HU,2008,19,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,LV,2008,15.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,MT,2008,7.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,PL,2008,12.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,RO,2008,9.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,SI,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,SK,2008,10.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,ED5_6,TR,2008,5.2,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,AT,2008,19.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,BE,2008,20.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,BG,2008,23.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,CY,2008,16.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,CZ,2008,20,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,DE,2008,23.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,EL,2008,20.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,ES,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,HU,2008,30.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,LV,2008,23,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,MT,2008,17.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,PL,2008,23.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,RO,2008,17.1,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,SI,2008,21.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,SK,2008,24.8,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,I10-I15,TOTAL,TR,2008,9.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,AT,2008,3.4,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,BE,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,BG,2008,3.9,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,CY,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,CZ,2008,3.3,
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,DE,2008,,c
dataflow,ESTAT:HLTH_EHIS_HC7(1.0),A,TOTAL,F,J41-J44,ED0-2,EL,2008,3.5,
