STRUCTURE,STRUCTURE_ID,freq,icd10,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L23_L24,I13,EU_V,2020,57.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2014,96.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2015,108.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2016,103.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2017,104.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2018,77.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2019,99.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,L24,I13,EU_V,2020,60.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2014,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2015,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2016,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2017,107.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2018,81.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2019,85.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M51,I13,EU_V,2020,68.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2014,102.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2015,108.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2016,128.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2017,110.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2018,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2019,154.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M65,I13,EU_V,2020,117.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2014,96.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2015,91.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2016,67.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2017,68.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2018,60.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2019,52.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M70,I13,EU_V,2020,54.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2014,94.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2015,97.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2016,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2017,113.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2018,87.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2019,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M75,I13,EU_V,2020,88.9,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2014,107.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2015,109.0,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2016,122.1,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2017,121.7,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2018,111.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2019,109.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,M77,I13,EU_V,2020,102.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2014,104.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2015,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2016,111.6,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2017,106.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2018,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2019,99.8,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,MSK,I13,EU_V,2020,88.4,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2013,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2014,102.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2015,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2016,100,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2017,98.5,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2018,86.2,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2019,93.3,
dataflow,ESTAT:HSW_OCC_INA(1.0),A,TOTAL,I13,EU_V,2020,75.4,
