STRUCTURE,STRUCTURE_ID,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,IE,2011,7.358,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,IS,2011,1.771,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,IT,2011,46.645,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,LT,2011,10.221,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,LV,2011,5.174,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,MT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,NL,2011,35.963,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,PL,2011,81.35,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,PT,2011,26.874,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,RO,2011,34.74,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,SE,2011,23.441,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,SI,2011,4.115,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,SK,2011,10.005,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,TR,2011,242.492,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y15-24,T,UK,2011,149.825,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,AT,2011,7.066,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,BE,2011,21.927,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,BG,2011,6.624,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,CH,2011,8.972,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,CY,2011,0.522,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,CZ,2011,12.842,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,DE,2011,58.185,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,DK,2011,18.431,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,EE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,EL,2011,5.541,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,ES,2011,36.949,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,EU28,2011,482.401,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,FI,2011,6.502,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,FR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,HR,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,HU,2011,4.285,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,IE,2011,5.205,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,IS,2011,1.085,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,IT,2011,36.694,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,LT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,LV,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,MT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,NL,2011,19.814,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,PL,2011,49.865,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,PT,2011,18.821,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,RO,2011,24.397,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,SE,2011,9.398,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,SI,2011,2.836,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,SK,2011,10.411,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,TR,2011,227.688,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,F,UK,2011,69.369,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,AT,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,BE,2011,12.391,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,BG,2011,7.478,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,CH,2011,3.503,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,CY,2011,1.034,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,CZ,2011,14.222,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,DE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,DK,2011,9.779,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,EE,2011,,u
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,EL,2011,13.004,
dataflow,ESTAT:HLTH_DLM190(1.0),A,THS,AS1015,Y25-34,M,ES,2011,39.761,
