STRUCTURE,STRUCTURE_ID,freq,unit,severity,injury,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,1999,61,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2000,369,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2001,334,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2002,355,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2003,573,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2004,573,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2005,571,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2006,649,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ062,EU15_NO,2007,1092,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,1997,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,1998,5,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,1999,0,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2000,19,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2001,15,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2002,4,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2003,15,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2004,36,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2005,17,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2006,15,
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ063,EU15_NO,2007,22,p
dataflow,ESTAT:HSW_AW_NINSV(1.0),A,NR,D14-20,INJ069,EU15_NO,1997,0,
